State,Vote,Age,HouseholdIncome,Male,Female,WhiteTotalPerc,BlackTotalPerc,IndianTotalPerc,AsianTotalPerc,HawaiianTotalPerc,OtherTotalPerc,TwoOrMoreTotalPerc
Alabama,Republican,39.5,"51,734",0.483,0.517,0.674986,0.265945,0.005061,0.013878,0.000417,0.039712,0.024385
Alaska,Republican,35.3,"75,463",0.517,0.483,0.633606,0.032421,0.14559,0.064165,0.014227,0.109992,0.093396
Arizona,Democratic,38.5,"62,055",0.495,0.505,0.737727,0.045317,0.043353,0.033341,0.00204,0.138223,0.069639
Arkansas,Republican,38.6,"48,952",0.491,0.509,0.75367,0.152012,0.006357,0.015316,0.003471,0.069174,0.039836
California,Democratic,37.3,"80,440",0.498,0.502,0.560507,0.057209,0.00792,0.148282,0.003803,0.222278,0.079348
Colorado,Democratic,37.3,"77,127",0.503,0.497,0.815192,0.041459,0.009441,0.031968,0.001563,0.100378,0.05932
Delaware,Democratic,41.4,"70,176",0.482,0.518,0.674384,0.219902,0.003679,0.039815,0.000729,0.061491,0.038822
Florida,Republican,42.7,"59,227",0.489,0.511,0.71639,0.159357,0.002623,0.027839,0.000629,0.093162,0.060189
Georgia,Democratic,37.3,"61,980",0.482,0.518,0.572455,0.315677,0.003325,0.041326,0.000678,0.06654,0.037386
Hawaii,Democratic,40,"83,102",0.488,0.512,0.241482,0.018814,0.00247,0.376402,0.104007,0.256824,0.242887
Idaho,Republican,37.2,"60,999",0.502,0.498,0.884068,0.006576,0.013127,0.013966,0.001809,0.080455,0.042805
Illinois,Democratic,38.8,"69,187",0.493,0.507,0.697857,0.141289,0.002672,0.0558,0.000409,0.101973,0.04243
Indiana,Republican,38,"57,603",0.495,0.505,0.822822,0.094361,0.002095,0.023698,0.000329,0.056694,0.033238
Iowa,Republican,38.6,"61,691",0.501,0.499,0.890923,0.037154,0.003345,0.025173,0.001251,0.042153,0.029517
Kansas,Republican,37.3,"62,087",0.495,0.505,0.829551,0.056937,0.007649,0.029902,0.000805,0.075156,0.048082
Kentucky,Republican,39.2,"52,295",0.491,0.509,0.862471,0.080958,0.001875,0.015271,0.00068,0.038746,0.027951
Louisiana,Republican,37.8,"51,073",0.491,0.509,0.612463,0.321706,0.005561,0.01735,0.000374,0.042548,0.026937
Maine,Democratic,45.9,"58,924",0.494,0.506,0.936759,0.013898,0.006633,0.011389,0.000142,0.031179,0.027565
Maryland,Democratic,39.2,"86,738",0.484,0.516,0.54244,0.298649,0.002627,0.063672,0.000439,0.092174,0.044908
